"games","region","gold","silver","bronze"
"2016 Summer","Mexico",0,3,2
"2016 Summer","Malaysia",0,7,1
"2016 Summer","Lithuania",0,2,5
"2016 Summer","Kosovo",1,0,0
"2016 Summer","Kenya",6,6,1
"2016 Summer","Kazakhstan",3,5,10
"2016 Summer","Jordan",1,0,0
"2016 Summer","Japan",17,13,34
"2016 Summer","Jamaica",11,17,2
"2016 Summer","Ivory Coast",1,0,1
"2016 Summer","Italy",8,40,24
"2016 Summer","Israel",0,0,2
"2016 Summer","Ireland",0,3,0
"2016 Summer","Iran",3,1,4
"2016 Summer","Indonesia",2,2,0
"2016 Summer","Individual Olympic Athletes",1,0,1
"2016 Summer","India",0,1,1
"2016 Summer","Hungary",12,3,7
"2016 Summer","Grenada",0,1,0
"2016 Summer","Greece",3,1,3
"2016 Summer","Germany",49,43,67
"2016 Summer","Georgia",2,1,4
"2016 Summer","France",20,55,21
"2016 Summer","Finland",0,0,1
"2016 Summer","Fiji",13,0,0
"2016 Summer","Ethiopia",1,2,5
"2016 Summer","Estonia",0,0,4
"2016 Summer","Egypt",0,0,3
"2016 Summer","Dominican Republic",0,0,1
"2016 Summer","Denmark",15,10,16
"2016 Summer","Czech Republic",1,2,12
"2016 Summer","Cuba",5,2,4
"2016 Summer","Croatia",7,15,2
"2016 Summer","Colombia",3,2,3
"2016 Summer","China",46,30,37
"2016 Summer","Canada",4,4,61
"2016 Summer","Burundi",0,1,0
"2016 Summer","Bulgaria",0,1,6
"2016 Summer","Brazil",36,8,6
"2016 Summer","Belgium",2,17,2
"2016 Summer","Belarus",1,4,7
"2016 Summer","Bahrain",1,1,0
"2016 Summer","Bahamas",1,0,5
"2016 Summer","Azerbaijan",1,7,10
"2016 Summer","Austria",0,0,2
"2016 Summer","Australia",23,34,25
"2016 Summer","Armenia",1,3,0
"2016 Summer","Argentina",21,1,0
"2016 Summer","Algeria",0,2,0
